tr2000gj,tr2000ge,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G5300110040806,53011040806,G5300110040806,53011040806,1,1,1,1,1,1,1,1
G5300110040904,53011040904,G5300110040904,53011040904,1,1,1,1,1,1,1,1
G5300110040905,53011040905,G5300110040905,53011040905,1,1,1,1,1,1,1,1
G5300110040906,53011040906,G5300110040907,53011040907,0.0000039368,0.0000050449,0.0000053313,0.0000048572,0.0000059236,0.0000060886,0.0000064035,0.0000036149
G5300110040906,53011040906,G5300110040909,53011040909,0.3774114079,0.7215981963,0.735667879,0.7284856116,0.7475278725,0.7516553315,0.7268250175,0.8471301431
G5300110040906,53011040906,G5300110040910,53011040910,0.6225846553,0.2783967588,0.2643267896,0.2715095312,0.2524662039,0.2483385799,0.273168579,0.152866242
G5300110040907,53011040907,G5300110040907,53011040907,1,1,1,1,1,1,1,1
G5300110040908,53011040908,G5300110040908,53011040908,1,1,1,1,1,1,1,1
G5300110041002,53011041002,G5300110041010,53011041010,0.4795886531,0.5385351843,0.5490318551,0.4919717405,0.5880373832,0.5961267606,0.4617431803,0.75
G5300110041002,53011041002,G5300110041011,53011041011,0.5204113469,0.4614648157,0.4509681449,0.5080282595,0.4119626168,0.4038732394,0.5382568197,0.25
G5300110041003,53011041003,G5300110041003,53011041003,1,1,1,1,1,1,1,1
G5300110041005,53011041005,G5300110041005,53011041005,1,1,1,1,1,1,1,1
G5300110041007,53011041007,G5300110041007,53011041007,0.9988672147,0.9999071972,0.9998894139,0.9998945842,0.9999026297,0.9999069028,0.9998544242,1
G5300110041007,53011041007,G5300110041008,53011041008,0.0011327853,0.0000928028,0.0001105861,0.0001054158,0.0000973703,0.0000930972,0.0001455758,0
G5300110041008,53011041008,G5300110041008,53011041008,1,1,1,1,1,1,1,1
G5300110041009,53011041009,G5300110041009,53011041009,1,1,1,1,1,1,1,1
G5300110041104,53011041104,G5300110041104,53011041104,1,1,1,1,1,1,1,1
G5300110041105,53011041105,G5300110041105,53011041105,1,1,1,1,1,1,1,1
G5300110041107,53011041107,G5300110041107,53011041107,1,1,1,1,1,1,1,1
G5300110041108,53011041108,G5300110041108,53011041108,1,1,1,1,1,1,1,1
G5300110041109,53011041109,G5300110041111,53011041111,0.2551413257,0.4764421615,0.4472687866,0.4385432272,0.4278907917,0.4367452691,0.0405426791,0.6162176181
G5300110041109,53011041109,G5300110041112,53011041112,0.7448586743,0.5235578385,0.5527312134,0.5614567728,0.5721092083,0.5632547309,0.9594573209,0.3837823819
G5300110041110,53011041110,G5300110041110,53011041110,1,1,1,1,1,1,1,1
G5300110041201,53011041201,G5300110041201,53011041201,0.9999865058,0.9999977491,0.9999973951,0.9999975135,0.9999976211,0.9999977038,0.9999955218,1
G5300110041201,53011041201,G5300110043100,53011043100,0.0000134942,0.0000022509,0.0000026049,0.0000024865,0.0000023789,0.0000022962,0.0000044782,0
G5300110041203,53011041203,G5300110041203,53011041203,1,1,1,1,1,1,1,1
G5300110041205,53011041205,G5300110041205,53011041205,1,1,1,1,1,1,1,1
G5300110041206,53011041206,G5300110041206,53011041206,1,1,1,1,1,1,1,1
G5300110041309,53011041309,G5300110041201,53011041201,0.0186658304,0,0,0,0,0,0,0
G5300110041309,53011041309,G5300110041309,53011041309,0.9813341696,1,1,1,1,1,1,1
G5300110041310,53011041310,G5300110041310,53011041310,1,1,1,1,1,1,1,1
G5300110041312,53011041312,G5300110041312,53011041312,1,1,1,1,1,1,1,1
G5300110041313,53011041313,G5300110041313,53011041313,1,1,1,1,1,1,1,1
G5300110041314,53011041314,G5300110041330,53011041330,0.5575854303,0.6639823149,0.65795053,0.6741293532,0.6406322641,0.6266018559,0.7536023055,0.4351245085
G5300110041314,53011041314,G5300110041331,53011041331,0.4424145697,0.3360176851,0.34204947,0.3258706468,0.3593677359,0.3733981441,0.2463976945,0.5648754915
G5300110041315,53011041315,G5300110041326,53011041326,0.3204526258,0.3982749873,0.399781838,0.3885521886,0.4056818182,0.3959117805,0.3958749168,0.4630350195
G5300110041315,53011041315,G5300110041327,53011041327,0.6795473742,0.6017250127,0.600218162,0.6114478114,0.5943181818,0.6040882195,0.6041250832,0.5369649805
G5300110041316,53011041316,G5300110041332,53011041332,0.519358152,0.5063041167,0.5096021948,0.5132947977,0.5143935819,0.5202520252,0.505364201,0.5603448276
G5300110041316,53011041316,G5300110041333,53011041333,0.480641848,0.4936958833,0.4903978052,0.4867052023,0.4856064181,0.4797479748,0.494635799,0.4396551724
G5300110041317,53011041317,G5300110041317,53011041317,1,1,1,1,1,1,1,1
G5300110041318,53011041318,G5300110041318,53011041318,1,1,1,1,1,1,1,1
G5300110041319,53011041319,G5300110041319,53011041319,1,1,1,1,1,1,1,1
G5300110041320,53011041320,G5300110041320,53011041320,1,1,1,1,1,1,1,1
G5300110041321,53011041321,G5300110041321,53011041321,1,1,1,1,1,1,1,1
G5300110041322,53011041322,G5300110041322,53011041322,1,1,1,1,1,1,1,1
G5300110041323,53011041323,G5300110041323,53011041323,1,1,1,1,1,1,1,1
G5300110041324,53011041324,G5300110041328,53011041328,0.632126048,0.5474032513,0.5551432694,0.5401691332,0.5706727135,0.5830388693,0.4916624558,0.8050974513
G5300110041324,53011041324,G5300110041329,53011041329,0.367873952,0.4525967487,0.4448567306,0.4598308668,0.4293272865,0.4169611307,0.5083375442,0.1949025487
G5300110041325,53011041325,G5300110041325,53011041325,0.9993527193,0.9994418757,0.9993267164,0.9993930675,0.9994583128,0.9994971074,0.9994856818,0.9990567635
G5300110041325,53011041325,G5300110041400,53011041400,0.0006472807,0.0005581243,0.0006732836,0.0006069325,0.0005416872,0.0005028926,0.0005143182,0.0009432365
G5300110041400,53011041400,G5300110041400,53011041400,1,1,1,1,1,1,1,1
G5300110041500,53011041500,G5300110041500,53011041500,1,1,1,1,1,1,1,1
G5300110041600,53011041600,G5300110041600,53011041600,1,1,1,1,1,1,1,1
G5300110041700,53011041700,G5300110041700,53011041700,1,1,1,1,1,1,1,1
G5300110041800,53011041800,G5300110041800,53011041800,1,1,1,1,1,1,1,1
G5300110041900,53011041900,G5300110041900,53011041900,1,1,1,1,1,1,1,1
G5300110042000,53011042000,G5300110042000,53011042000,1,1,1,1,1,1,1,1
G5300110042100,53011042100,G5300110042100,53011042100,1,1,1,1,1,1,1,1
G5300110042300,53011042300,G5300110042300,53011042300,1,1,1,1,1,1,1,1
G5300110042400,53011042400,G5300110042400,53011042400,1,1,1,1,1,1,1,1
G5300110042500,53011042500,G5300110042500,53011042500,1,1,1,1,1,1,1,1
G5300110042600,53011042600,G5300110042600,53011042600,1,1,1,1,1,1,1,1
G5300110042700,53011042700,G5300110042700,53011042700,1,1,1,1,1,1,1,1
G5300110042800,53011042800,G5300110042800,53011042800,1,1,1,1,1,1,1,1
G5300110042900,53011042900,G5300110042900,53011042900,1,1,1,1,1,1,1,1
G5300110043000,53011043000,G5300110043000,53011043000,1,1,1,1,1,1,1,1
G5300110043100,53011043100,G5300110043100,53011043100,1,1,1,1,1,1,1,1
G5300130960200,53013960200,G5300130960200,53013960200,1,1,1,1,1,1,1,1
G5300150000100,53015000100,G5300150002100,53015002100,1,1,1,1,1,1,1,1
G5300150000200,53015000200,G5300150002100,53015002100,1,1,1,1,1,1,1,1
G5300150000300,53015000300,G5300150000300,53015000300,0.9999900917,1,1,1,1,1,1,1
G5300150000300,53015000300,G5300150001200,53015001200,0.0000099083,0,0,0,0,0,0,0
G5300150000400,53015000400,G5300150000400,53015000400,1,1,1,1,1,1,1,1
G5300150000501,53015000501,G5300150000501,53015000501,1,1,1,1,1,1,1,1
G5300150000502,53015000502,G5300150000502,53015000502,1,1,1,1,1,1,1,1
G5300150000601,53015000601,G5300150000601,53015000601,1,1,1,1,1,1,1,1
G5300150000602,53015000602,G5300150000602,53015000602,1,1,1,1,1,1,1,1
G5300150000701,53015000701,G5300150000703,53015000703,0.4283326104,0.1380974575,0.1380106215,0.1378300358,0.1387554785,0.15845974,0.1867556139,0.0568102606
G5300150000701,53015000701,G5300150000704,53015000704,0.5716673896,0.8619025425,0.8619893785,0.8621699642,0.8612445215,0.84154026,0.8132443861,0.9431897394
G5300150000702,53015000702,G5300150000702,53015000702,1,1,1,1,1,1,1,1
G5300150000800,53015000800,G5300150000800,53015000800,1,1,1,1,1,1,1,1
G5300150000900,53015000900,G5300150000900,53015000900,1,1,1,1,1,1,1,1
G5300150001000,53015001000,G5300150001000,53015001000,1,1,1,1,1,1,1,1
G5300150001100,53015001100,G5300150001100,53015001100,1,1,1,1,1,1,1,1
G5300150001200,53015001200,G5300150001200,53015001200,1,1,1,1,1,1,1,1
G5300150001300,53015001300,G5300150001300,53015001300,1,1,1,1,1,1,1,1
G5300150001500,53015001500,G5300150001501,53015001501,0.8492482002,0.2858735719,0.2857388193,0.2989783454,0.2896669371,0.3155043145,0.3234432056,0.2027532851
G5300150001500,53015001500,G5300150001502,53015001502,0.1507517998,0.7141264281,0.7142611807,0.7010216546,0.7103330629,0.6844956855,0.6765567944,0.7972467149
G5300150001600,53015001600,G5300150001600,53015001600,1,1,1,1,1,1,1,1
G5300150001700,53015001700,G5300150001700,53015001700,1,1,1,1,1,1,1,1
G5300150001800,53015001800,G5300150001800,53015001800,0.9999996321,1,1,1,1,1,1,1
G5300150001800,53015001800,G5300410971700,53041971700,0.0000003679,0,0,0,0,0,0,0
G5300150001900,53015001900,G5300150001900,53015001900,1,1,1,1,1,1,1,1
G5300150002001,53015002001,G5300150002001,53015002001,0.9994904254,0.9999992636,0.9999990695,0.9999988041,0.9999990888,0.9999991459,0.9999989807,1
G5300150002001,53015002001,G5300410971500,53041971500,0.0000499372,0,0,0,0,0,0,0
G5300150002001,53015002001,G5300410971600,53041971600,0.0004596375,0.0000007364,0.0000009305,0.0000011959,0.0000009112,0.0000008541,0.0000010193,0
G5300150002002,53015002002,G5300150002002,53015002002,1,1,1,1,1,1,1,1
G5300170950100,53017950100,G5300170950100,53017950100,1,1,1,1,1,1,1,1
