GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET1001,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G5300330005899","1990","WA",,,,,,,,,"005899",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000000","0000000000","Tract 58.99","S","+47630064","-122381929",,342,240,48,8,16,0,12,7,1,3,7
"G53003300059","1990","WA",,,,,,,,,"0059",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001785","0000000173","Tract 59","S","+47649233","-122366887",,5997,5523,72,35,236,3,54,5,3,3,63
"G5300330005999","1990","WA",,,,,,,,,"005999",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000000","0000000000","Tract 59.99","S","+47653488","-122363949",,27,24,0,0,0,0,3,0,0,0,0
"G53003300060","1990","WA",,,,,,,,,"0060",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001302","0000000180","Tract 60","S","+47644093","-122349817",,4510,4079,97,44,211,3,59,1,1,2,13
"G53003300061","1990","WA",,,,,,,,,"0061",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001249","0000000616","Tract 61","S","+47644050","-122320178",,4347,3951,80,26,184,6,49,5,7,5,34
"G53003300062","1990","WA",,,,,,,,,"0062",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002684","0000000289","Tract 62","S","+47639433","-122299870",,3884,3402,224,15,165,2,51,7,0,1,17
"G53003300063","1990","WA",,,,,,,,,"0063",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002325","0000003561","Tract 63","S","+47635983","-122276290",,5140,4864,110,10,91,2,47,0,0,2,14
"G53003300064","1990","WA",,,,,,,,,"0064",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000897","0000000000","Tract 64","S","+47628050","-122304049",,3285,2660,359,16,139,3,68,13,6,0,21
"G53003300065","1990","WA",,,,,,,,,"0065",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001138","0000000000","Tract 65","S","+47632283","-122316112",,4141,3672,148,43,175,2,70,2,3,2,24
"G53003300066","1990","WA",,,,,,,,,"0066",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001121","0000000826","Tract 66","S","+47630273","-122329643",,2707,2433,92,15,107,1,32,1,2,4,20
"G5300330006699","1990","WA",,,,,,,,,"006699",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000000","0000000000","Tract 66.99","S","+47636431","-122328617",,85,76,2,0,4,0,1,0,0,0,2
"G5300330006798","1990","WA",,,,,,,,,"006798",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001274","0000000102","Tract 67.98","S","+47632150","-122342921",,4365,3958,110,26,149,4,73,2,1,9,33
"G5300330006898","1990","WA",,,,,,,,,"006898",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000717","0000000000","Tract 68.98","S","+47635650","-122355052",,2539,2361,29,14,84,2,21,1,0,1,26
"G53003300069","1990","WA",,,,,,,,,"0069",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000919","0000000000","Tract 69","S","+47634350","-122365724",,3813,3505,53,21,157,3,45,2,2,1,24
"G53003300070","1990","WA",,,,,,,,,"0070",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000774","0000000000","Tract 70","S","+47628250","-122355949",,6582,5961,176,38,232,5,95,4,4,10,57
"G53003300071","1990","WA",,,,,,,,,"0071",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000819","0000000000","Tract 71","S","+47621900","-122354874",,1506,1272,73,31,58,4,27,2,2,3,34
"G53003300072","1990","WA",,,,,,,,,"0072",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001009","0000000000","Tract 72","S","+47619500","-122341724",,1710,1445,104,28,66,3,27,3,7,5,22
"G53003300073","1990","WA",,,,,,,,,"0073",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000913","0000000000","Tract 73","S","+47620700","-122332399",,758,542,48,48,49,5,40,2,10,2,12
"G53003300074","1990","WA",,,,,,,,,"0074",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000539","0000000000","Tract 74","S","+47620700","-122323424",,7749,6207,594,112,478,8,185,21,15,9,120
"G53003300075","1990","WA",,,,,,,,,"0075",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000825","0000000000","Tract 75","S","+47618550","-122316149",,5368,4313,504,62,246,15,107,16,5,9,91
"G53003300076","1990","WA",,,,,,,,,"0076",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000567","0000000000","Tract 76","S","+47621600","-122306674",,3137,2071,826,27,101,17,43,16,2,2,32
